engine_no,LAST(recordings.time_in_cycles),LAST(recordings.operational_setting_1),LAST(recordings.operational_setting_2),LAST(recordings.operational_setting_3),LAST(recordings.sensor_measurement_1),LAST(recordings.sensor_measurement_2),LAST(recordings.sensor_measurement_3),LAST(recordings.sensor_measurement_4),LAST(recordings.sensor_measurement_5),LAST(recordings.sensor_measurement_6),LAST(recordings.sensor_measurement_7),LAST(recordings.sensor_measurement_8),LAST(recordings.sensor_measurement_9),LAST(recordings.sensor_measurement_10),LAST(recordings.sensor_measurement_11),LAST(recordings.sensor_measurement_12),LAST(recordings.sensor_measurement_13),LAST(recordings.sensor_measurement_14),LAST(recordings.sensor_measurement_15),LAST(recordings.sensor_measurement_16),LAST(recordings.sensor_measurement_17),LAST(recordings.sensor_measurement_18),LAST(recordings.sensor_measurement_19),LAST(recordings.sensor_measurement_20),LAST(recordings.sensor_measurement_21),MAX(recordings.operational_setting_1),MAX(recordings.operational_setting_2),MAX(recordings.operational_setting_3),MAX(recordings.sensor_measurement_1),MAX(recordings.sensor_measurement_2),MAX(recordings.sensor_measurement_3),MAX(recordings.sensor_measurement_4),MAX(recordings.sensor_measurement_5),MAX(recordings.sensor_measurement_6),MAX(recordings.sensor_measurement_7),MAX(recordings.sensor_measurement_8),MAX(recordings.sensor_measurement_9),MAX(recordings.sensor_measurement_10),MAX(recordings.sensor_measurement_11),MAX(recordings.sensor_measurement_12),MAX(recordings.sensor_measurement_13),MAX(recordings.sensor_measurement_14),MAX(recordings.sensor_measurement_15),MAX(recordings.sensor_measurement_16),MAX(recordings.sensor_measurement_17),MAX(recordings.sensor_measurement_18),MAX(recordings.sensor_measurement_19),MAX(recordings.sensor_measurement_20),MAX(recordings.sensor_measurement_21),MIN(recordings.operational_setting_1),MIN(recordings.operational_setting_2),MIN(recordings.operational_setting_3),MIN(recordings.sensor_measurement_1),MIN(recordings.sensor_measurement_2),MIN(recordings.sensor_measurement_3),MIN(recordings.sensor_measurement_4),MIN(recordings.sensor_measurement_5),MIN(recordings.sensor_measurement_6),MIN(recordings.sensor_measurement_7),MIN(recordings.sensor_measurement_8),MIN(recordings.sensor_measurement_9),MIN(recordings.sensor_measurement_10),MIN(recordings.sensor_measurement_11),MIN(recordings.sensor_measurement_12),MIN(recordings.sensor_measurement_13),MIN(recordings.sensor_measurement_14),MIN(recordings.sensor_measurement_15),MIN(recordings.sensor_measurement_16),MIN(recordings.sensor_measurement_17),MIN(recordings.sensor_measurement_18),MIN(recordings.sensor_measurement_19),MIN(recordings.sensor_measurement_20),MIN(recordings.sensor_measurement_21),RUL
37,252,25.0013,0.622,60.0,462.54,536.0,1257.76,1045.2,7.05,9.0,175.24,1915.41,8012.87,0.94,36.36,164.8,2028.27,7869.31,10.8145,0.02,305,1915,84.93,14.5,8.5508,42.0079,0.8419,100.0,518.67,642.48,1588.71,1405.33,14.62,21.58,555.87,2388.07,9061.35,1.3,47.35,523.43,2388.12,8143.59,10.8885,0.03,393,2388,100.0,39.2,23.4758,0.0002,0.0,60.0,445.0,535.95,1242.98,1031.01,3.91,5.69,137.31,1915.2,7995.33,0.93,36.11,129.23,2028.11,7864.55,8.3287,0.02,304,1915,84.93,10.39,6.2435,136
38,7,35.0047,0.8408,100.0,449.44,555.25,1362.43,1133.04,5.48,8.0,194.2,2222.84,8345.22,1.02,41.89,183.59,2387.91,8060.91,9.3484,0.02,331,2223,100.0,14.65,8.8486,42.005,0.8408,100.0,491.19,607.61,1501.75,1317.6,10.52,15.49,394.59,2323.97,8774.86,1.26,45.56,371.75,2388.16,8118.51,9.3687,0.03,371,2324,100.0,28.72,17.145,10.0043,0.25,100.0,445.0,549.53,1353.03,1125.92,3.91,5.71,137.67,2211.78,8318.52,1.02,41.89,130.39,2387.79,8048.97,8.6454,0.02,331,2212,100.0,10.63,6.3792,170
39,197,42.0,0.84,100.0,445.0,549.53,1359.34,1136.48,3.91,5.7,141.71,2212.45,8374.75,1.05,42.52,134.29,2388.52,8128.43,9.1194,0.02,333,2212,100.0,10.59,6.5536,42.008,0.842,100.0,518.67,642.93,1601.06,1421.59,14.62,21.6,565.61,2388.45,9103.2,1.31,47.84,533.43,2388.65,8183.57,10.8932,0.03,395,2388,100.0,39.67,23.768,0.0001,0.0,60.0,445.0,536.16,1248.98,1028.86,3.91,5.7,137.21,1915.23,7993.65,0.94,36.31,129.69,2028.13,7865.51,8.2388,0.02,303,1915,84.93,10.36,6.2491,5
40,196,42.0062,0.84,100.0,445.0,550.6,1365.53,1144.36,3.91,5.71,137.99,2211.97,8337.64,1.02,42.51,129.9,2388.03,8088.96,9.3886,0.02,332,2212,100.0,10.61,6.3753,42.0077,0.842,100.0,518.67,643.88,1598.09,1428.97,14.62,21.61,554.5,2388.2,9073.1,1.3,48.08,522.36,2388.33,8147.92,10.9866,0.03,396,2388,100.0,39.16,23.445,0.0,0.0,60.0,445.0,535.98,1250.23,1039.61,3.91,5.71,137.33,1915.31,8005.28,0.94,36.5,129.9,2028.19,7867.9,8.3798,0.02,305,1915,84.93,10.31,6.2183,10
41,174,0.0008,0.0,100.0,518.67,643.06,1595.69,1414.78,14.62,21.61,553.15,2388.13,9065.48,1.3,47.63,521.3,2388.13,8138.27,8.4287,0.03,396,2388,100.0,38.73,23.2724,42.0078,0.8419,100.0,518.67,643.51,1600.65,1418.65,14.62,21.61,553.57,2388.15,9071.94,1.3,47.76,521.7,2388.24,8148.39,10.9567,0.03,396,2388,100.0,38.91,23.411,0.0001,0.0,60.0,445.0,536.15,1256.55,1044.84,3.91,5.71,137.35,1915.23,7998.37,0.94,36.56,129.57,2028.14,7867.75,8.4134,0.02,306,1915,84.93,10.36,6.2243,105
42,65,25.0051,0.62,60.0,462.54,535.8,1259.49,1044.34,7.05,9.02,175.58,1915.27,8006.83,0.94,36.38,164.98,2028.18,7866.76,10.8687,0.02,305,1915,84.93,14.44,8.7023,42.0078,0.842,100.0,518.67,642.57,1588.41,1401.28,14.62,21.6,554.83,2388.03,9055.25,1.3,47.31,522.58,2388.07,8141.32,10.8906,0.03,393,2388,100.0,39.24,23.4937,0.0003,0.0,60.0,445.0,535.72,1249.9,1036.98,3.91,5.71,138.27,1915.24,7999.92,0.94,36.26,129.99,2028.13,7866.45,8.3575,0.02,303,1915,84.93,10.44,6.2542,215
43,20,20.0046,0.7006,100.0,491.19,606.71,1469.21,1242.81,9.35,13.65,335.14,2323.91,8720.8,1.08,44.01,315.4,2387.95,8058.98,9.1525,0.02,363,2324,100.0,24.68,14.6841,42.0002,0.8415,100.0,518.67,642.29,1587.3,1402.72,14.62,21.61,554.94,2388.01,9051.96,1.3,47.18,522.95,2388.06,8136.91,10.8385,0.03,392,2388,100.0,39.09,23.5121,0.0005,0.0,60.0,445.0,536.21,1255.88,1031.18,3.91,5.72,139.09,1915.33,8003.4,0.94,36.37,130.93,2028.21,7872.03,8.3698,0.02,305,1915,84.93,10.52,6.2743,203
44,178,20.0029,0.7,100.0,491.19,607.58,1495.71,1257.37,9.35,13.66,333.67,2324.42,8784.7,1.08,44.48,314.59,2388.59,8118.01,9.2358,0.02,366,2324,100.0,24.34,14.645,42.008,0.8419,100.0,518.67,642.97,1598.75,1416.06,14.62,21.61,554.87,2388.07,9132.49,1.3,47.76,522.76,2388.95,8199.82,10.9711,0.03,395,2388,100.0,39.16,23.5072,0.0,0.0,60.0,445.0,536.25,1249.71,1035.01,3.91,5.71,138.23,1915.45,8005.18,0.94,36.41,130.03,2028.34,7874.54,8.3821,0.02,306,1915,84.93,10.39,6.2769,25
45,10,25.0032,0.622,60.0,462.54,537.11,1258.51,1048.79,7.05,9.03,175.66,1915.21,8003.97,0.94,36.62,164.33,2028.06,7868.93,10.9099,0.02,307,1915,84.93,14.31,8.6679,42.0042,0.8419,100.0,518.67,643.04,1586.52,1406.9,14.62,21.61,553.8,2388.12,9037.27,1.3,47.48,521.54,2388.17,8130.59,10.9099,0.03,394,2388,100.0,38.93,23.169,0.0006,0.0012,60.0,445.0,537.11,1258.51,1048.79,3.91,5.71,139.0,1915.18,8000.76,0.94,36.51,130.41,2028.01,7866.73,8.4543,0.02,307,1915,84.93,10.67,6.3348,167
46,38,25.0063,0.62,60.0,462.54,536.73,1252.39,1039.48,7.05,9.0,174.93,1915.33,8003.29,0.94,36.48,163.95,2028.21,7875.36,10.8185,0.02,305,1915,84.93,14.35,8.5944,42.007,0.8417,100.0,518.67,642.68,1585.38,1401.21,14.62,21.58,554.4,2388.01,9062.73,1.3,47.31,522.53,2388.12,8143.33,10.8632,0.03,392,2388,100.0,39.14,23.4165,0.0002,0.0,60.0,445.0,535.78,1252.39,1036.02,3.91,5.69,137.74,1915.3,8001.68,0.94,36.21,129.51,2028.2,7867.55,8.3419,0.02,305,1915,84.93,10.38,6.2549,283
47,205,42.0011,0.84,100.0,445.0,549.23,1338.32,1115.17,3.91,5.69,138.01,2211.92,8308.63,1.02,41.75,129.61,2387.99,8071.4,9.3516,0.02,328,2212,100.0,10.54,6.2852,42.008,0.842,100.0,518.67,642.65,1587.44,1403.7,14.62,21.59,553.41,2387.94,9051.02,1.3,47.39,520.82,2388.07,8134.76,10.9133,0.03,392,2388,100.0,39.13,23.4776,0.0001,0.0,60.0,445.0,535.69,1247.0,1026.53,3.91,5.69,136.58,1915.17,7986.72,0.93,36.1,128.87,2028.06,7859.94,8.3653,0.02,303,1915,84.93,10.42,6.2408,170
48,163,0.003,0.0,100.0,518.67,642.23,1584.14,1393.03,14.62,21.56,550.52,2387.8,9038.45,1.3,46.99,518.6,2387.73,8122.37,8.4484,0.03,389,2388,100.0,38.87,23.3658,42.008,0.8419,100.0,518.67,642.23,1589.81,1398.8,14.62,21.57,551.57,2388.03,9045.34,1.3,47.09,519.48,2388.05,8131.0,10.9291,0.03,391,2388,100.0,39.12,23.4205,0.0,0.0,60.0,445.0,535.93,1245.65,1029.74,3.91,5.68,136.38,1915.09,7987.18,0.93,36.17,128.46,2027.98,7858.5,8.382,0.02,302,1915,84.93,10.31,6.1946,159
49,159,10.007,0.2515,100.0,489.05,604.2,1494.7,1305.74,10.52,15.47,395.78,2318.79,8774.36,1.26,45.12,372.28,2388.07,8140.55,8.5765,0.03,368,2319,100.0,28.6,17.1801,42.008,0.842,100.0,518.67,642.71,1587.5,1404.51,14.62,21.59,555.35,2388.08,9063.06,1.3,47.4,523.01,2388.12,8142.68,10.8752,0.03,393,2388,100.0,39.26,23.6179,0.0,0.0,60.0,445.0,535.87,1244.3,1031.97,3.91,5.69,137.42,1915.27,8001.76,0.94,36.3,129.59,2028.18,7869.94,8.3159,0.02,304,1915,84.93,10.43,6.2663,287
50,99,25.0061,0.621,60.0,462.54,536.98,1261.07,1045.76,7.05,9.02,175.95,1915.41,8008.99,0.94,36.52,164.86,2028.27,7875.2,10.8257,0.02,306,1915,84.93,14.48,8.5843,42.0079,0.8416,100.0,518.67,642.57,1591.79,1403.95,14.62,21.61,556.63,2388.08,9062.0,1.3,47.27,524.11,2388.13,8145.04,10.8638,0.03,393,2388,100.0,39.32,23.5843,0.0001,0.0,60.0,445.0,536.13,1250.82,1031.37,3.91,5.71,138.11,1915.29,7997.43,0.94,36.38,130.26,2028.17,7866.82,8.3486,0.02,305,1915,84.93,10.44,6.2851,73
51,70,25.0047,0.6207,60.0,462.54,536.72,1262.67,1035.78,7.05,9.01,175.76,1915.33,8007.43,0.94,36.59,164.76,2028.23,7871.01,10.8324,0.02,306,1915,84.93,14.45,8.5527,42.0077,0.842,100.0,518.67,642.49,1592.87,1400.09,14.62,21.6,556.02,2388.06,9061.1,1.3,47.3,523.57,2388.11,8145.23,10.8681,0.03,392,2388,100.0,39.18,23.5387,0.0003,0.0,60.0,445.0,535.8,1248.82,1035.37,3.91,5.7,137.38,1915.3,8003.64,0.94,36.39,130.08,2028.17,7870.3,8.3491,0.02,304,1915,84.93,10.47,6.3016,215
52,56,42.001,0.841,100.0,445.0,549.45,1343.29,1117.61,3.91,5.7,138.26,2211.98,8314.72,1.02,41.81,130.36,2388.08,8085.57,9.2628,0.02,328,2212,100.0,10.58,6.4334,42.0078,0.842,100.0,518.67,642.47,1590.74,1399.93,14.62,21.59,555.34,2388.05,9062.51,1.3,47.33,523.12,2388.12,8142.28,10.8639,0.03,393,2388,100.0,39.25,23.474,0.0004,0.0,60.0,445.0,536.31,1254.21,1039.35,3.91,5.69,137.85,1915.28,8004.18,0.94,36.38,129.9,2028.16,7867.88,8.3298,0.02,305,1915,84.93,10.5,6.25,301
53,302,34.9997,0.842,100.0,449.44,555.9,1374.41,1144.77,5.48,7.97,200.05,2223.76,8415.25,1.05,42.44,188.42,2388.88,8125.7,9.0771,0.02,338,2223,100.0,15.17,9.0932,42.008,0.842,100.0,518.67,643.48,1606.13,1424.36,14.62,21.58,567.58,2388.47,9119.01,1.32,48.15,535.28,2388.9,8192.18,10.9055,0.03,397,2388,100.0,39.64,23.7974,0.0,0.0,60.0,445.0,535.48,1248.16,1030.32,3.91,5.69,136.78,1915.19,7994.83,0.93,36.14,128.87,2028.02,7861.46,8.2467,0.02,304,1915,84.93,10.4,6.2403,2
54,50,0.0016,0.002,100.0,518.67,641.96,1581.36,1390.02,14.62,21.59,553.6,2387.92,9044.86,1.3,46.92,521.23,2388.0,8130.49,8.3879,0.03,391,2388,100.0,38.83,23.3505,42.0079,0.8419,100.0,518.67,642.34,1588.42,1399.32,14.62,21.6,553.6,2387.98,9051.46,1.3,47.19,521.47,2388.02,8134.51,10.892,0.03,391,2388,100.0,39.19,23.4827,0.0002,0.0,60.0,445.0,535.93,1252.41,1026.59,3.91,5.7,137.16,1915.21,7989.62,0.93,36.25,129.18,2028.05,7859.07,8.356,0.02,305,1915,84.93,10.42,6.277,147
55,123,10.0006,0.2505,100.0,489.05,604.84,1501.82,1310.83,10.52,15.49,395.45,2318.88,8794.23,1.26,45.28,372.29,2388.09,8142.03,8.5854,0.03,369,2319,100.0,28.39,17.1942,42.0069,0.842,100.0,518.67,642.71,1593.45,1406.62,14.62,21.61,554.84,2388.06,9069.86,1.3,47.44,522.65,2388.25,8151.06,10.9284,0.03,393,2388,100.0,39.28,23.5455,0.0001,0.0,60.0,445.0,535.85,1250.16,1039.2,3.91,5.71,138.19,1915.41,8007.43,0.94,36.37,130.12,2028.3,7875.51,8.3686,0.02,305,1915,84.93,10.33,6.2126,221
56,205,34.9989,0.8412,100.0,449.44,555.53,1363.66,1131.76,5.48,8.0,194.6,2222.78,8348.62,1.02,42.07,183.26,2387.89,8057.32,9.3528,0.02,335,2223,100.0,14.81,8.8571,42.0079,0.842,100.0,518.67,643.37,1597.82,1416.52,14.62,21.61,554.11,2388.22,9059.7,1.3,47.72,522.01,2388.25,8136.87,10.9597,0.03,394,2388,100.0,39.04,23.3969,0.0,0.0,60.0,445.0,536.47,1257.0,1042.46,3.91,5.71,137.83,1915.13,7998.54,0.94,36.49,129.72,2028.03,7862.07,8.3987,0.02,304,1915,84.93,10.34,6.2203,142
57,92,25.005,0.62,60.0,462.54,537.25,1266.68,1056.63,7.05,9.03,175.46,1915.32,8011.35,0.94,36.95,164.67,2028.24,7870.47,10.9625,0.02,308,1915,84.93,14.18,8.3803,42.0079,0.842,100.0,518.67,643.18,1597.51,1416.12,14.62,21.61,553.68,2388.18,9063.51,1.3,47.8,521.82,2388.24,8138.63,10.9625,0.03,395,2388,100.0,39.01,23.4146,0.0005,0.0,60.0,445.0,536.33,1256.11,1042.62,3.91,5.71,137.73,1915.27,8005.21,0.93,36.78,129.93,2028.15,7870.03,8.4198,0.02,307,1915,84.93,10.3,6.2143,101
58,231,0.0021,0.0018,100.0,518.67,643.05,1593.2,1400.31,14.62,21.59,559.88,2388.2,9076.18,1.31,47.51,527.24,2388.18,8157.86,8.3041,0.03,393,2388,100.0,39.25,23.6056,42.0077,0.842,100.0,518.67,643.05,1593.2,1405.26,14.62,21.59,559.88,2388.21,9078.31,1.31,47.51,527.4,2388.28,8157.86,10.8923,0.03,393,2388,100.0,39.25,23.6056,0.0001,0.0,60.0,445.0,535.87,1249.12,1033.39,3.91,5.69,137.23,1915.23,7998.21,0.93,36.25,129.05,2028.15,7864.14,8.3041,0.02,304,1915,84.93,10.35,6.2028,50
59,46,25.0015,0.6213,60.0,462.54,537.16,1267.29,1041.07,7.05,9.03,175.0,1915.42,8017.94,0.94,36.66,164.55,2028.31,7871.58,10.8869,0.02,308,1915,84.93,14.35,8.5924,42.0079,0.8419,100.0,518.67,642.84,1589.56,1407.56,14.62,21.61,554.15,2388.06,9077.22,1.3,47.49,522.33,2388.21,8146.67,10.9061,0.03,393,2388,100.0,39.14,23.5012,0.0001,0.0,60.0,445.0,536.54,1255.64,1041.07,3.91,5.71,138.15,1915.38,8009.21,0.94,36.56,130.27,2028.28,7871.58,8.3919,0.02,304,1915,84.93,10.49,6.2713,131
60,19,35.0055,0.8411,100.0,449.44,555.14,1358.03,1126.85,5.48,8.0,194.97,2222.95,8348.57,1.02,41.75,183.55,2388.03,8067.73,9.313,0.02,333,2223,100.0,14.81,8.9925,42.005,0.8417,100.0,518.67,642.23,1585.59,1394.89,14.62,21.61,554.11,2388.1,9056.37,1.3,47.38,521.7,2388.11,8140.92,10.8749,0.03,392,2388,100.0,38.96,23.415,0.0016,0.0,60.0,445.0,536.61,1257.07,1042.94,3.91,5.71,138.53,1915.36,8006.12,0.94,36.61,130.67,2028.23,7870.06,8.3998,0.02,305,1915,84.93,10.48,6.3004,199
61,56,35.0034,0.84,100.0,449.44,554.85,1364.81,1124.97,5.48,8.0,194.66,2223.09,8354.56,1.02,41.87,183.23,2388.16,8078.21,9.2982,0.02,335,2223,100.0,14.88,8.9211,42.0078,0.8415,100.0,518.67,642.39,1590.63,1401.96,14.62,21.61,555.17,2388.04,9066.58,1.3,47.3,523.31,2388.22,8149.87,10.889,0.03,392,2388,100.0,39.17,23.4776,0.0002,0.0,60.0,445.0,536.19,1251.09,1037.59,3.91,5.71,138.17,1915.4,8001.41,0.94,36.39,130.6,2028.28,7875.88,8.3634,0.02,305,1915,84.93,10.43,6.3052,188
62,115,42.0009,0.84,100.0,445.0,548.46,1343.32,1114.6,3.91,5.7,138.14,2211.94,8307.95,1.02,41.74,130.39,2388.02,8074.74,9.349,0.02,330,2212,100.0,10.58,6.262,42.0079,0.842,100.0,518.67,642.22,1587.53,1401.29,14.62,21.59,554.49,2388.0,9054.05,1.3,47.2,522.02,2388.06,8136.69,10.9036,0.03,392,2388,100.0,39.15,23.5413,0.0004,0.0,60.0,445.0,536.03,1247.29,1026.91,3.91,5.69,137.0,1915.22,7994.61,0.93,36.15,129.42,2028.09,7861.06,8.3634,0.02,303,1915,84.93,10.4,6.2482,182
63,35,0.0013,0.0016,100.0,518.67,642.55,1585.15,1405.41,14.62,21.61,554.47,2388.02,9073.35,1.3,47.26,522.39,2388.01,8151.86,8.4121,0.03,392,2388,100.0,38.88,23.4145,42.0072,0.8417,100.0,518.67,642.67,1591.27,1406.43,14.62,21.61,555.19,2388.02,9073.35,1.3,47.38,522.69,2388.33,8156.56,10.8722,0.03,393,2388,100.0,39.09,23.501,0.001,0.0,60.0,445.0,536.36,1255.66,1044.86,3.91,5.71,138.2,1915.5,8018.99,0.94,36.47,130.28,2028.45,7880.38,8.3819,0.02,306,1915,84.93,10.5,6.129,135
64,143,35.0072,0.8406,100.0,449.44,555.75,1368.09,1133.8,5.48,8.0,194.1,2223.12,8368.67,1.02,42.01,182.86,2388.21,8075.06,9.3463,0.02,335,2223,100.0,14.77,8.9861,42.0071,0.8419,100.0,518.67,643.33,1599.98,1416.05,14.62,21.61,554.69,2388.13,9075.62,1.3,47.71,522.4,2388.26,8152.78,10.9735,0.03,394,2388,100.0,39.11,23.4588,0.0,0.0,60.0,445.0,536.26,1251.5,1037.22,3.91,5.71,137.84,1915.43,8008.51,0.94,36.48,130.0,2028.28,7875.95,8.3949,0.02,305,1915,84.93,10.39,6.2022,41
65,303,25.001,0.62,60.0,462.54,537.09,1276.65,1050.58,7.05,9.01,179.41,1915.81,8052.74,0.94,36.89,168.34,2028.76,7910.99,10.651,0.02,308,1915,84.93,14.61,8.7481,42.008,0.842,100.0,518.67,643.1,1605.43,1424.59,14.62,21.6,567.08,2388.44,9109.96,1.32,48.07,534.51,2388.81,8185.81,10.8784,0.03,396,2388,100.0,39.62,23.8134,0.0,0.0,60.0,445.0,535.98,1248.93,1032.73,3.91,5.7,137.48,1915.25,7992.49,0.94,36.27,130.14,2028.16,7866.28,8.2598,0.02,304,1915,84.93,10.38,6.2754,48
66,147,35.0035,0.84,100.0,449.44,555.77,1367.4,1135.88,5.48,7.98,196.76,2223.21,8362.24,1.03,41.92,185.17,2388.27,8083.69,9.2048,0.02,334,2223,100.0,15.0,8.9824,42.0078,0.8419,100.0,518.67,642.92,1594.48,1409.0,14.62,21.59,559.38,2388.18,9073.75,1.3,47.56,527.23,2388.27,8152.99,10.8845,0.03,393,2388,100.0,39.26,23.5626,0.0001,0.0,60.0,445.0,535.78,1245.92,1033.15,3.91,5.7,137.58,1915.23,7996.12,0.94,36.26,129.54,2028.09,7864.96,8.2996,0.02,304,1915,84.93,10.43,6.2464,28
67,12,35.0008,0.8411,100.0,449.44,555.46,1363.27,1127.27,5.48,8.0,194.35,2222.91,8340.5,1.02,41.86,182.67,2387.95,8060.82,9.3306,0.02,333,2223,100.0,14.76,8.8647,42.0077,0.8416,100.0,518.67,642.83,1585.11,1400.03,14.62,21.61,553.46,2388.08,9049.21,1.3,47.53,521.24,2388.12,8131.64,10.9441,0.03,392,2388,100.0,38.84,23.2837,0.0014,0.0,60.0,445.0,536.57,1251.37,1042.17,3.91,5.71,137.92,1915.29,8003.26,0.94,36.63,130.67,2028.16,7871.94,8.475,0.02,307,1915,84.93,10.55,6.2905,155
68,163,42.0009,0.84,100.0,445.0,550.51,1378.04,1146.93,3.91,5.72,138.38,2213.58,8422.65,1.03,42.78,130.65,2389.77,8181.74,9.4219,0.02,335,2212,100.0,10.33,6.1742,42.0074,0.8419,100.0,518.67,643.5,1606.76,1440.77,14.62,21.61,554.41,2388.15,9155.72,1.3,48.1,522.08,2389.86,8219.37,11.0572,0.03,396,2388,100.0,39.05,23.4854,0.0,0.0,60.0,445.0,536.0,1253.14,1037.3,3.91,5.71,137.88,1915.34,8007.14,0.93,36.56,129.65,2028.2,7871.34,8.3924,0.02,306,1915,84.93,10.33,6.1742,0
69,218,35.0033,0.8401,100.0,449.44,556.19,1369.9,1137.12,5.48,7.97,199.68,2223.55,8393.29,1.04,42.26,187.81,2388.73,8115.82,9.1205,0.02,336,2223,100.0,15.05,8.9575,42.0071,0.842,100.0,518.67,642.84,1596.52,1408.78,14.62,21.58,560.41,2388.14,9081.56,1.31,47.51,528.12,2388.73,8174.15,10.9182,0.03,395,2388,100.0,39.38,23.5881,0.0,0.0,60.0,445.0,535.84,1245.83,1031.87,3.91,5.69,136.67,1915.19,7989.98,0.93,36.15,128.85,2028.07,7859.75,8.2722,0.02,304,1915,84.93,10.31,6.2484,8
70,42,35.0011,0.84,100.0,449.44,555.53,1360.58,1127.32,5.48,8.0,194.46,2223.13,8354.48,1.02,41.82,183.65,2388.27,8079.45,9.3013,0.02,334,2223,100.0,14.98,8.9926,42.0066,0.8419,100.0,518.67,642.41,1585.74,1400.63,14.62,21.61,554.91,2388.04,9072.54,1.3,47.29,522.53,2388.29,8146.75,10.875,0.03,394,2388,100.0,39.12,23.4437,0.0,0.0,60.0,445.0,536.09,1257.32,1039.42,3.91,5.71,138.38,1915.52,8020.03,0.94,36.42,130.09,2028.4,7881.84,8.3736,0.02,305,1915,84.93,10.48,6.2649,143
71,198,35.0011,0.8414,100.0,449.44,555.5,1356.87,1116.77,5.48,7.97,193.82,2222.86,8338.35,1.02,41.53,182.54,2387.95,8063.39,9.3233,0.02,332,2223,100.0,14.75,8.8923,42.0079,0.8419,100.0,518.67,643.94,1605.88,1428.55,14.62,21.6,568.13,2388.59,9116.7,1.31,48.21,536.2,2388.94,8191.43,10.8786,0.03,396,2388,100.0,39.6,23.7972,0.0001,0.0,60.0,445.0,535.88,1250.36,1033.34,3.91,5.69,137.28,1915.21,7993.58,0.94,36.15,129.53,2028.08,7864.55,8.2276,0.02,303,1915,84.93,10.43,6.2295,114
72,232,42.0035,0.8406,100.0,445.0,549.8,1358.43,1136.44,3.91,5.72,137.83,2211.87,8319.43,1.02,42.22,130.35,2387.89,8075.9,9.3985,0.02,331,2212,100.0,10.49,6.3576,42.0079,0.842,100.0,518.67,643.05,1593.6,1414.35,14.62,21.61,555.18,2388.14,9061.31,1.3,47.67,522.62,2388.19,8143.83,10.9543,0.03,395,2388,100.0,39.2,23.5076,0.0,0.0,60.0,445.0,535.98,1249.7,1037.98,3.91,5.71,137.66,1915.23,7998.21,0.94,36.47,129.98,2028.1,7863.99,8.3757,0.02,305,1915,84.93,10.33,6.2403,76
73,142,10.0002,0.25,100.0,489.05,605.38,1511.61,1310.5,10.52,15.5,393.75,2319.04,8766.32,1.26,45.65,371.27,2388.27,8112.89,8.7253,0.03,371,2319,100.0,28.38,17.0308,42.0078,0.8418,100.0,518.67,643.74,1599.88,1423.64,14.62,21.61,554.26,2388.23,9049.58,1.3,47.94,522.02,2388.3,8127.74,10.9661,0.03,394,2388,100.0,38.99,23.4599,0.0002,0.0,60.0,445.0,536.31,1252.86,1041.92,3.91,5.71,137.33,1915.08,7994.09,0.94,36.62,129.8,2027.97,7858.9,8.4065,0.02,306,1915,84.93,10.41,6.2066,39
74,204,0.0029,0.0,100.0,518.67,642.89,1588.56,1415.09,14.62,21.61,552.67,2388.15,9056.81,1.3,47.75,520.86,2388.11,8130.81,8.5045,0.03,393,2388,100.0,38.8,23.1064,42.008,0.8418,100.0,518.67,642.89,1595.84,1415.09,14.62,21.61,555.15,2388.15,9064.51,1.3,47.75,522.76,2388.22,8141.41,10.9466,0.03,394,2388,100.0,39.2,23.5048,0.0,0.0,60.0,445.0,535.88,1249.68,1037.94,3.91,5.71,137.98,1915.22,8004.0,0.94,36.35,129.99,2028.16,7867.67,8.374,0.02,304,1915,84.93,10.45,6.2388,40
75,147,35.0079,0.8408,100.0,449.44,555.92,1375.42,1135.08,5.48,8.0,193.61,2223.14,8357.25,1.02,42.05,182.82,2388.23,8078.81,9.3468,0.02,335,2223,100.0,14.61,8.9143,42.0077,0.8419,100.0,518.67,643.11,1596.41,1420.23,14.62,21.61,554.01,2388.18,9075.81,1.3,47.75,521.85,2388.24,8147.36,10.9584,0.03,395,2388,100.0,38.9,23.3675,0.0001,0.0,60.0,445.0,536.19,1250.43,1043.82,3.91,5.71,137.99,1915.24,8003.84,0.94,36.66,129.45,2028.14,7867.4,8.3933,0.02,306,1915,84.93,10.37,6.21,83
76,52,9.9998,0.25,100.0,489.05,604.46,1501.61,1304.52,10.52,15.49,394.29,2318.94,8776.34,1.26,45.5,371.28,2388.1,8123.59,8.6568,0.03,370,2319,100.0,28.51,17.1117,42.008,0.841,100.0,518.67,643.06,1595.49,1420.8,14.62,21.61,554.22,2388.12,9056.5,1.3,47.55,522.14,2388.16,8139.96,10.9307,0.03,393,2388,100.0,39.02,23.3635,0.0,0.0,60.0,445.0,536.28,1256.9,1039.91,3.91,5.71,138.18,1915.18,8000.21,0.93,36.6,130.03,2028.08,7860.66,8.4057,0.02,305,1915,84.93,10.42,6.339,100
